threshold,precision,recall
0.018116448879107305,0.134,1.0
0.018219962832865696,0.13408939292861907,1.0
0.019567666842067725,0.1341789052069426,1.0
0.020429491100230474,0.1342685370741483,1.0
0.024241463334275046,0.13435828877005349,1.0
0.02606945095509192,0.13444816053511705,1.0
0.027179156892219315,0.13453815261044177,1.0
0.028108410261924465,0.1346282652377763,1.0
0.028218926379631935,0.13471849865951743,1.0
0.028441897853213473,0.13480885311871227,1.0
0.028638205436616188,0.1348993288590604,1.0
0.028872817511578167,0.13498992612491606,1.0
0.029854027425117946,0.1350806451612903,1.0
0.029931545940384746,0.1351714862138534,1.0
0.030740173575878094,0.13526244952893673,1.0
0.031052842990720527,0.13535353535353536,1.0
0.03132507945054938,0.13544474393530997,1.0
0.03152521231032048,0.13553607552258934,1.0
0.032040217403347115,0.13562753036437247,1.0
0.032229056395370465,0.13571910871033085,1.0
0.0328746625429409,0.1358108108108108,1.0
0.03325551035509893,0.1359026369168357,1.0
0.033295460084077,0.13599458728010824,1.0
0.03335067722061582,0.13608666215301288,1.0
0.03438994065825948,0.13617886178861788,1.0
0.034527669799152116,0.13627118644067795,1.0
0.03457177533671699,0.13636363636363635,1.0
0.03504242157530349,0.1364562118126273,1.0
0.03549498734567463,0.13654891304347827,1.0
0.03572003233227222,0.13664174031271245,1.0
0.036024358423490964,0.13673469387755102,1.0
0.03607967487148981,0.13682777399591559,1.0
0.036197367708439926,0.1369209809264305,1.0
0.03634872963921653,0.13701431492842536,1.0
0.037140243166818264,0.13710777626193724,1.0
0.03727233332498434,0.1372013651877133,1.0
0.03747375469520007,0.13729508196721313,1.0
0.03813360039764771,0.13738892686261106,1.0
0.03829379124792661,0.1374829001367989,1.0
0.03850759749242179,0.1375770020533881,1.0
0.039003949872504155,0.13767123287671232,1.0
0.039840593193505296,0.13776559287183002,1.0
0.04033316785615745,0.13786008230452676,1.0
0.04098050073739329,0.13795470144131777,1.0
0.04121567160016443,0.13804945054945056,1.0
0.04145943370162511,0.13814432989690723,1.0
0.04152418115195317,0.13823933975240715,1.0
0.042206083909772006,0.1383344803854095,1.0
0.04244004792373988,0.1384297520661157,1.0
0.042723833933074294,0.13852515506547208,1.0
0.04315678664602197,0.1386206896551724,1.0
0.04330806954885308,0.13871635610766045,1.0
0.04363243148241821,0.1388121546961326,1.0
0.04383223267209251,0.13890808569454044,1.0
0.04431249061156742,0.13900414937759337,1.0
0.044519984684231746,0.13910034602076124,1.0
0.0446800064600072,0.139196675900277,1.0
0.045054492549458355,0.1392931392931393,1.0
0.045335967191075834,0.1393897364771151,1.0
0.04541608143021501,0.13948646773074255,1.0
0.04545399281906972,0.13958333333333334,1.0
0.04573401388090149,0.13968033356497567,1.0
0.04585947105176127,0.13977746870653684,1.0
0.04598575913501597,0.13987473903966596,1.0
0.04599570180060171,0.13997214484679665,1.0
0.04607307351525212,0.14006968641114984,1.0
0.04620397664273102,0.1401673640167364,1.0
0.04654802798072074,0.14026517794836008,1.0
0.046807470338798673,0.1403631284916201,1.0
0.0468468768999897,0.14046121593291405,1.0
0.04700850121069424,0.14055944055944056,1.0
0.0473593975334203,0.14065780265920225,1.0
0.047446268357957365,0.1407563025210084,1.0
0.04756136916266142,0.14085494043447794,1.0
0.04762009959595794,0.14095371669004209,1.0
0.04787477513678602,0.14105263157894737,1.0
0.04803086459085836,0.14115168539325842,1.0
0.0482455269059497,0.14125087842586087,1.0
0.04827347769841431,0.14135021097046413,1.0
0.0487700901060814,0.1414496833216045,1.0
